uniprot_id,pdb_id,accession,all_goa_terms,chain_id
2A5G_HUMAN,2JAK,Q13362,"GO:0000159, GO:0000775, GO:0005634, GO:0005654, GO:0005794, GO:0005829, GO:0008285, GO:0019888, GO:0030330, GO:0042771, GO:0043161",A
2AAA_HUMAN,1B3U,P30153,"GO:0000159, GO:0000775, GO:0000785, GO:0005634, GO:0007059, GO:0016328, GO:0019888, GO:0035331, GO:0043005, GO:0043025, GO:0046982, GO:0065003, GO:0090443, GO:0160232, GO:0160240, GO:1990405",A
2AAA_MOUSE,2PF4,Q76MZ3,"GO:0000159, GO:0004722, GO:0005829, GO:0007143, GO:0043029, GO:0045202, GO:0051232, GO:0051306, GO:0051754, GO:0051898, GO:0098978, GO:1903538, GO:2001241",A
2AAB_HUMAN,9MF5,P30154,"GO:0045121, GO:0060561, GO:2001241",A
2ODD_SINHE,7E37,A0A0N9HQ36,"GO:0009611, GO:0009699, GO:0016706",A
35NBP_CHRVO,2YB1,Q7NXD4,"GO:0016311, GO:0030145, GO:0097657",A
3BP2_HUMAN,2CR4,P78314,"GO:0001784, GO:0007165",A
3BP5_HUMAN,6IXE,O60239,"GO:0004860, GO:0005085, GO:0005654, GO:0007165, GO:0016604, GO:0030659, GO:0035556",A
3CP2_STRSQ,8GQA,P85078,"GO:0006469, GO:0050830",B
3HAO_HUMAN,2QNK,P46952,"GO:0000334, GO:0005829, GO:0008198, GO:0009435, GO:0010043, GO:0019805, GO:0046686, GO:0070050",A
3HAO_YEAST,1ZVF,P47096,"GO:0000334, GO:0005737, GO:0034354",A
3HIDH_HUMAN,2GF2,P31937,"GO:0005759, GO:0006574, GO:0008442",A
3L255_OPHHA,7ULQ,Q53B58,"GO:0005615, GO:0008200, GO:0030550, GO:0044509, GO:0090729",A
3MDO_PSEAE,3USS,Q9I0N5,"GO:0005506, GO:0016702",A
3MG1_ECOLI,1LMZ,P05100,"GO:0006307, GO:0008725",A
3MG2_ECOLI,1DIZ,P04395,"GO:0003905, GO:0005737, GO:0006281, GO:0006284, GO:0006307, GO:0006974",A
3MG_HUMAN,1BNK,P29372,"GO:0003677, GO:0003684, GO:0005654, GO:0005829, GO:0006307, GO:0019104, GO:0045007",A
3NBA_BOIIR,2H7Z,A0S864,"GO:0005576, GO:0030550, GO:0090729",A
3PASE_ECOLI,5A60,P30871,"GO:0046872, GO:0050355",A
3PASE_NITEU,2FBL,Q82UI9,GO:0050355,A
3SA3_NAJKA,6RC7,P01446,"GO:0005576, GO:0090729",A
3SBH_HEMHA,3VTS,B3EWH9,GO:0005576,A
3SIM7_DENAN,2VLW,Q8QGR0,GO:0048019,A
3SO1_HEMHA,4ZQY,C0HJT5,GO:0044470,A
3XYN1_VIBSX,2DDX,D5MP61,"GO:0030247, GO:0033905, GO:0045493",A
3XYN_ALCSP,2COV,Q8RS40,"GO:0030247, GO:0033914, GO:0045493",D
4CL1_ARATH,3TSY,Q42524,"GO:0005737, GO:0009411, GO:0009611, GO:0009620, GO:0009698, GO:0016207",A
4CL2_TOBAC,5BSM,O24146,"GO:0009611, GO:0009698, GO:0009753, GO:0016207, GO:0050563, GO:0106286, GO:0106290",A
4CLLA_ARATH,5IE0,Q9SMT7,"GO:0005737, GO:0010030, GO:0010214, GO:0033611, GO:0050203, GO:0050832",A
4EBP1_HUMAN,1EJ4,Q13541,"GO:0000082, GO:0005829, GO:0008190, GO:0017148, GO:0030371, GO:0031369, GO:0031929, GO:0045931, GO:0045947",B
4EBP2_HUMAN,2MX4,Q13542,"GO:0005737, GO:0006412, GO:0030371, GO:0043232, GO:0045947, GO:0071598",A
4EBP_DROME,4UE8,Q9XZ56,"GO:0001558, GO:0005829, GO:0006641, GO:0006955, GO:0006979, GO:0008190, GO:0008286, GO:0009617, GO:0019731, GO:0031594, GO:0032869, GO:0034599, GO:0042594, GO:0045792, GO:0045947, GO:0048010, GO:0098978, GO:0099577, GO:1905536",B
4F2_HUMAN,2DH2,P08195,"GO:0003725, GO:0005654, GO:0005886, GO:0006865, GO:0009986, GO:0015173, GO:0015175, GO:0015180, GO:0015190, GO:0015818, GO:0015820, GO:0015821, GO:0015823, GO:0015824, GO:0015827, GO:0015828, GO:0015829, GO:0016323, GO:0016324, GO:0043330, GO:0046718, GO:0046982, GO:0070327, GO:0140272, GO:1902024, GO:1903801, GO:1904273, GO:1990184",A
4F2_MOUSE,6I9Q,P10852,"GO:0005886, GO:0015820, GO:0042803, GO:0043025, GO:0044225, GO:0045202",A
4HBT_ARTSP,1Q4S,Q04416,GO:0018739,A
4HBT_PSEUC,1BVQ,P56653,GO:0018739,A
4HYPE_PSEAE,2AZP,Q9I476,GO:0047580,A
4HYPE_PSEP1,4JBD,A5VZY6,GO:0047580,A
4HYPE_XANCP,4JUU,Q8P833,GO:0047580,A
4OT_BACSU,2OP8,P70994,GO:0016853,A
5DNU_ECOLI,2PAQ,P76491,"GO:0002953, GO:0006226, GO:0010139, GO:0042802, GO:0050897",A
5EAS_TOBAC,1HX9,Q40577,"GO:0000287, GO:0051762, GO:0102698",A
5HT1A_HUMAN,9DYF,P08908,"GO:0001586, GO:0004993, GO:0005886, GO:0007186, GO:0007198, GO:0008284, GO:0090722, GO:0099589",R
5HT1B_HUMAN,4IAQ,P28222,"GO:0001586, GO:0004993, GO:0005783, GO:0005886, GO:0007193, GO:0007198, GO:0071312, GO:0071466, GO:0099589, GO:1904707",A
5HT2A_HUMAN,6A93,P28223,"GO:0001587, GO:0004993, GO:0005886, GO:0006874, GO:0007208, GO:0009410, GO:0010513, GO:0042802, GO:0051209, GO:0051378, GO:0070374, GO:0071886, GO:0098664, GO:0098666, GO:0099589",A
5HT2A_RAT,4OAJ,P14842,"GO:0001659, GO:0002720, GO:0005883, GO:0005886, GO:0007204, GO:0007208, GO:0007613, GO:0008284, GO:0009410, GO:0014059, GO:0014824, GO:0014832, GO:0030425, GO:0031652, GO:0042220, GO:0042734, GO:0043025, GO:0043198, GO:0043267, GO:0043525, GO:0044877, GO:0045211, GO:0045907, GO:0046960, GO:0048148, GO:0050729, GO:0050951, GO:0050965, GO:0050966, GO:0051967, GO:0070374, GO:0070852, GO:0098978, GO:0099171, GO:1900119, GO:1901731, GO:2000573",B
5HT2B_HUMAN,4IB4,P41595,"GO:0001587, GO:0001819, GO:0001938, GO:0001965, GO:0004993, GO:0005654, GO:0005737, GO:0005886, GO:0006874, GO:0007186, GO:0007208, GO:0008284, GO:0009410, GO:0010513, GO:0014827, GO:0019722, GO:0019934, GO:0042310, GO:0043123, GO:0050795, GO:0051209, GO:0051378, GO:0070371, GO:0070374, GO:0098664, GO:0098666, GO:0099589",A
5HT2C_HUMAN,6BQG,P28335,"GO:0001587, GO:0004993, GO:0005886, GO:0006874, GO:0007208, GO:0010513, GO:0019934, GO:0042802, GO:0051209, GO:0051378, GO:0070374, GO:0071886, GO:0098664, GO:0098666, GO:0099589",A
5HT3A_HUMAN,8AXD,P46098,"GO:0005886, GO:0007210, GO:0022850, GO:0032154, GO:0051378, GO:0098662, GO:0140227, GO:1904602",A
5HT3A_MOUSE,4PIR,P23979,"GO:0007210, GO:0042802, GO:0098662, GO:0099507, GO:1904602",A
5HT4R_HUMAN,5EM9,Q13639,"GO:0004993, GO:0005737, GO:0005886, GO:0007186, GO:0007189, GO:0007192, GO:0016020, GO:0099589, GO:0120056",
5HT5A_HUMAN,7UM4,P47898,"GO:0001586, GO:0004993, GO:0005886, GO:0007186, GO:0007198, GO:0099589",A
5NT3A_HUMAN,2CN1,Q9H0P0,"GO:0000215, GO:0005654, GO:0005737, GO:0005783, GO:0005829, GO:0006248, GO:0006249, GO:0008253, GO:0016604, GO:0046050, GO:0046074, GO:0046079, GO:0051607",A
5NT3A_MOUSE,2BDU,Q9D020,"GO:0006248, GO:0008253",A
5NT3B_DROME,4NV0,Q9W197,"GO:0005829, GO:0008252, GO:0008253, GO:0009158, GO:1901069",A
5NT3B_HUMAN,7ZEE,Q969T7,"GO:0000288, GO:0005829, GO:0008253",A
5NTC_HUMAN,2J2C,P49902,"GO:0000255, GO:0005524, GO:0005737, GO:0005829, GO:0006204, GO:0008253, GO:0042802, GO:0046037, GO:0046040, GO:0046054, GO:0050146, GO:0050483, GO:0050689, GO:0061630, GO:0070936",A
5NTD_HUMAN,4H1S,P21589,"GO:0002953, GO:0005654, GO:0005829, GO:0005886, GO:0006259, GO:0007159, GO:0008253, GO:0008270, GO:0016020, GO:0033198, GO:0042802, GO:0046034, GO:0050340, GO:0050483, GO:0050484",A
6HN3M_PSEPK,5EOW,Q88FY2,"GO:0004497, GO:1901848",A
6PGD1_YEAST,2P4Q,P38720,"GO:0004616, GO:0009051, GO:0034599",A
6PGD_ECOLI,2ZYA,P00350,"GO:0004616, GO:0005829, GO:0006098, GO:0042802, GO:0042803, GO:0097216",A
6PGD_HUMAN,2JKV,P52209,GO:0009051,A
6PGD_SHEEP,1PGN,P00349,"GO:0004616, GO:0006098",A
6PGD_TRYBB,1PGJ,P31072,"GO:0004616, GO:0005737, GO:0020015, GO:0050661, GO:0097014",A
6PGL_ECOLI,1RI6,P52697,"GO:0005829, GO:0006098, GO:0017057",A
708A6_MAIZE,6LF6,A0A096SRM5,"GO:0035251, GO:0047243",A
708C1_FAGES,6LLG,A0A0A1HA03,GO:0035251,A
74AC1_SIRGR,6L8W,K7NBW3,GO:0035251,A
7LESS_DROME,9BFP,P13368,"GO:0005886, GO:0007465, GO:0008288, GO:0019199, GO:0045500, GO:0060250",A
7SB1_SOYBN,3AUP,P13917,GO:0042802,A
8ODP_DANRE,5HZX,Q7ZWC3,"GO:0009151, GO:0016791, GO:0016818, GO:0047429",A
8ODP_HUMAN,1IRY,P36639,"GO:0005634, GO:0005737, GO:0005739, GO:0005759, GO:0005829, GO:0006152, GO:0006281, GO:0006979, GO:0008413, GO:0008828, GO:0016818, GO:0035539, GO:0042262, GO:0047693, GO:0106377, GO:0106378",A
8ODP_MOUSE,5MZE,P53368,"GO:0008413, GO:0030515",A
A0A059VAZ3_9DEIN,4YPL,A0A059VAZ3,GO:0042802,A
A0A068C8U8_ASPFU,5ZVP,A0A068C8U8,"GO:0000148, GO:0001411, GO:0043936",A
A0A088FLK9_9VIRU,6FHG,A0A088FLK9,GO:0051715,A
A0A0A0MRG9_HUMAN,9G3Y,A0A0A0MRG9,"GO:0005794, GO:0005813, GO:0030054, GO:0036064",o
A0A0A0MTC1_HUMAN,9JW1,A0A0A0MTC1,"GO:0005730, GO:0005829",A
A0A0B4J203_HUMAN,8XRR,A0A0B4J203,GO:0005654,A
A0A0B4JDC9_DROME,6Q9M,A0A0B4JDC9,"GO:0007274, GO:0031594, GO:0048788, GO:0048789, GO:0098831, GO:1990709",A
A0A0B4KG38_DROME,6QP8,A0A0B4KG38,"GO:0001952, GO:0016200, GO:0070593, GO:0070983, GO:0071678",A
A0A0B4KHI4_DROME,6ES4,A0A0B4KHI4,"GO:0000398, GO:0003729, GO:0003730, GO:0005634, GO:0005829, GO:0007310, GO:0035770, GO:0045180, GO:0045886, GO:0046011, GO:0046843, GO:0048027, GO:0048255, GO:0098975, GO:0106222, GO:1900073",A
A0A0E0TG05_GEOS2,3UWX,A0A0E0TG05,GO:0042802,
A0A0G2K8Z9_RAT,5ZBR,A0A0G2K8Z9,"GO:0005829, GO:0005902, GO:0033270",A
A0A0H2UXE9_SHIFL,2FOR,A0A0H2UXE9,"GO:0004337, GO:0045337",A
A0A0H2VBP9_ECOL6,2P5Z,A0A0H2VBP9,GO:0042802,X
A0A0H2ZIZ8_PSEAB,4K59,A0A0H2ZIZ8,GO:0042802,A
A0A0H3CDG5_CAUVN,3U2A,A0A0H3CDG5,GO:0042802,A
A0A151EDA9_9ARCH,6IS6,A0A151EDA9,GO:0042802,
A0A1D8PEA0_CANAL,6ZDQ,A0A1D8PEA0,"GO:0000333, GO:0003720, GO:0005697, GO:0007004, GO:0016233",A
A0A1D8PGB7_CANAL,5UCC,A0A1D8PGB7,"GO:0006897, GO:0030448, GO:0031505, GO:0090033",A
A0A1D8PJ64_CANAL,7RLL,A0A1D8PJ64,GO:1903561,A
A0A1D8PJF9_CANAL,6DEK,A0A1D8PJF9,"GO:0009097, GO:0009099",A
A0A1D8PKA4_CANAL,7LFF,A0A1D8PKA4,"GO:0007052, GO:1990023",A
A0A1D8PKB4_CANAL,6U69,,"GO:0005886, GO:0010570, GO:0030448, GO:0033554, GO:0051701, GO:1900190, GO:1903338, GO:1903561",
A0A1D8PMC5_CANAL,6HND,A0A1D8PMC5,"GO:0008793, GO:0009073, GO:0009074, GO:0019477, GO:0019878, GO:0047536",A
A0A1D8PMH8_CANAL,7F77,A0A1D8PMH8,GO:0004354,A
A0A1D8PPH3_CANAL,6M4C,A0A1D8PPH3,"GO:0030448, GO:0032233",A
A0A1D8PQM9_CANAL,8UK6,A0A1D8PQM9,"GO:0004819, GO:0006425, GO:0071466",A
A0A1D8PTI2_CANAL,5UB8,A0A1D8PTI2,"GO:0031521, GO:1903561",A
A0A1D8PTP9_CANAL,5U2L,A0A1D8PTP9,"GO:0009986, GO:0034605, GO:0044011, GO:0051085, GO:0070370",A
A0A1U7R319_MESAU,5YW7,A0A1U7R319,"GO:0019829, GO:0098662",B
A0A220GHA5_9CAUD,6LKF,A0A220GHA5,"GO:0003723, GO:0098672, GO:0140678",A
A0A2D2D105_METT3,9E7J,A0A2D2D105,GO:0042802,A
A0A2D2D105_METTR,8R4L,,GO:0042802,
A0A2R8QUC0_DANRE,5JFT,A0A2R8QUC0,"GO:0006915, GO:0008233, GO:0043065, GO:0048696, GO:0071236, GO:0071300, GO:0071466",A
A0A2R8RKV0_DANRE,7EXP,A0A2R8RKV0,"GO:0000287, GO:0005509, GO:0016887, GO:0042802",A
A0A2U7VKE8_9CAUD,6RJ9,A0A2U7VKE8,GO:0098672,A
A0A348AAL1_BACAN,4DIB,A0A348AAL1,"GO:0002020, GO:0005829, GO:0006006, GO:0016020, GO:0047100",A
A0A3F3RXI7_ASPNG,7WAB,A0A3F3RXI7,GO:0004252,A
A0A3Q0L222_VIBVU,5ZNX,A0A3Q0L222,GO:0042802,A
A0A505HRI7_ASPNG,5LM8,A0A505HRI7,GO:0052716,
A0A509GV61_LEGPN,6NJD,A0A509GV61,GO:0141158,B
A0A8M1PIC7_DANRE,6B82,A0A8M1PIC7,"GO:0004508, GO:0030237, GO:0030238, GO:0042448, GO:0047006, GO:1903449",A
A0A8M3AT32_DANRE,8ZR0,A0A8M3AT32,"GO:0001966, GO:0021549, GO:0060322",A
A0ABF7SXN4_9INFA,8PZP,A0ABF7SXN4,GO:0042802,A
A0L9W2_MAGMM,4JJ0,A0L9W2,GO:0042802,A
A0NFU8_ANOGA,6S1Y,A0NFU8,"GO:0006508, GO:0008241, GO:0008270, GO:0070573",A
A0Q7H2_FRATN,5AMT,A0Q7H2,"GO:0030430, GO:0106139",A
A0Q7H3_FRATN,6U9F,A0Q7H3,"GO:0030430, GO:0106139",B
A0Q7I5_FRATN,3J9O,A0Q7I5,GO:0030430,A
A0QNK4_MYCS2,4WJ1,A0QNK4,GO:0042802,A
A0QP85_MYCS2,2XW7,A0QP85,GO:0042802,A
A0QXP8_MYCS2,3F7E,A0QXP8,"GO:0046223, GO:0046226, GO:0052807",A
A16L1_HUMAN,5NUV,Q676U5,"GO:0000045, GO:0000421, GO:0005829, GO:0006501, GO:0016236, GO:0016237, GO:0019787, GO:0034045, GO:0034274, GO:0034497, GO:0036020, GO:0042802, GO:0043495, GO:0051020, GO:0120095",A
A16L1_MOUSE,6SUR,Q8C0J2,"GO:0000045, GO:0000421, GO:0005737, GO:0005776, GO:0005829, GO:0005930, GO:0010508, GO:0016236, GO:0016237, GO:0021766, GO:0022038, GO:0034045, GO:0034274, GO:0034497, GO:0039689, GO:0042802, GO:0051607, GO:0097225, GO:0098792, GO:0098930, GO:0098978",I
A1AG1_HUMAN,3KQ0,P02763,"GO:0005615, GO:0006953, GO:0006954, GO:0031093, GO:0032715, GO:0032720, GO:0032731, GO:0032732, GO:0032760, GO:0035580, GO:1904724",A
A1AG2_HUMAN,3APU,P19652,"GO:0005576, GO:0005615, GO:0006953, GO:0031093, GO:0032731, GO:0032732, GO:0032760, GO:0035578, GO:0035580",A
A1AT_HUMAN,1ATU,P01009,"GO:0002020, GO:0004867, GO:0005576, GO:0005615, GO:0005783, GO:0005788, GO:0005794, GO:0030134, GO:0031093, GO:0033116, GO:0042802, GO:0043231, GO:1904813",A
A1B602_PARDP,2LL0,A1B602,GO:0140678,A
A1CF_HUMAN,2CPD,Q9NQ94,"GO:0003723, GO:0003727, GO:0005634, GO:0005654, GO:0005737, GO:0016554, GO:0016556, GO:0030895, GO:0050821, GO:0140767, GO:2000623",A
A1L1Q4_DANRE,5FUB,A1L1Q4,"GO:0042802, GO:0140374",A
A1M_RAT,1EDY,Q63041,"GO:0044877, GO:0048403, GO:0048406",A
A1Z6I7_DROME,6JKK,A1Z6I7,"GO:0000776, GO:0005737, GO:0007065, GO:0007066, GO:0007094, GO:0007096, GO:0009267, GO:0010965, GO:0031507, GO:0051754, GO:0070193",A
A1Z8R1_DROME,4R9P,A1Z8R1,"GO:0005737, GO:0008362, GO:0045177, GO:0060439, GO:0098592",A
A1Z9P1_DROME,8WXS,A1Z9P1,"GO:0043186, GO:0140965, GO:0141008",A
A1ZB71_DROME,4YH2,A1ZB71,"GO:0004364, GO:0004602, GO:0006749",A
A1ZB72_DROME,4PNG,A1ZB72,"GO:0004364, GO:0004602, GO:0006749",A
A1ZBK7_DROME,2L95,A1ZBK7,"GO:0004869, GO:0007614, GO:0007616",A
A1ZBM2_DROME,2KJR,A1ZBM2,"GO:0005634, GO:0005737, GO:0005813, GO:0005938, GO:0007309, GO:0031122, GO:0035089, GO:0072686",A
A2AP_MOUSE,2R9Y,Q61247,"GO:0002034, GO:0030199, GO:0032967, GO:0045597, GO:0045944, GO:0048514, GO:0048661, GO:0071636",A
A2GL_HUMAN,7Q4Q,P02750,"GO:0001938, GO:0005114, GO:0005615, GO:0010718, GO:0010838, GO:0030511, GO:0034713, GO:0035313, GO:0035580, GO:0043231, GO:0045766, GO:0051546, GO:0060054, GO:0061756, GO:1904724, GO:1904813",E
A2MG_BOVIN,1AYO,Q7SIH1,GO:0002020,A
A2MG_ECOLI,4RTD,P76578,"GO:0004866, GO:0006952, GO:0042803",A
A2MG_HUMAN,1BV8,P01023,"GO:0001869, GO:0002020, GO:0004866, GO:0004867, GO:0005102, GO:0005576, GO:0019838, GO:0019899, GO:0019959, GO:0019966, GO:0031093, GO:0043120, GO:0048306",A
A2ML1_HUMAN,7Q1Y,A8K2U0,"GO:0005615, GO:0030414, GO:0052548",A
A3CWV0_METMJ,4HYC,A3CWV0,GO:0042802,A
A3DJ37_ACET2,3JWG,A3DJ37,GO:0042802,A
A3F715_ASPNG,6QLG,A3F715,"GO:0046281, GO:0071468",A
A3MSH1_PYRCJ,4DHD,A3MSH1,"GO:0004311, GO:0033386",A
A49_VACCW,4D5R,P31037,"GO:0030430, GO:0085034, GO:0140311",A
A4_CAEEL,2M05,Q10651,"GO:0002119, GO:0010171, GO:0031410, GO:0042395, GO:0043005, GO:0043025",A
A4FQD5_SACEN,8HIG,A4FQD5,"GO:0045892, GO:0045893",A
A4FXZ3_METM5,4Z7K,A4FXZ3,GO:0042802,A
A4GRE3_9BILA,2OS5,A4GRE3,GO:0005126,A
A4_HUMAN,1AAP,P05067,"GO:0001774, GO:0002265, GO:0004867, GO:0005102, GO:0005576, GO:0005615, GO:0005641, GO:0005737, GO:0005743, GO:0005768, GO:0005769, GO:0005783, GO:0005788, GO:0005794, GO:0005796, GO:0005829, GO:0005886, GO:0007611, GO:0007612, GO:0008285, GO:0009986, GO:0010468, GO:0010628, GO:0010629, GO:0014005, GO:0019899, GO:0030111, GO:0030425, GO:0031093, GO:0031901, GO:0031904, GO:0032588, GO:0032722, GO:0032731, GO:0032755, GO:0032760, GO:0042802, GO:0043197, GO:0043198, GO:0043231, GO:0043235, GO:0045121, GO:0045202, GO:0045821, GO:0045944, GO:0046330, GO:0048018, GO:0048143, GO:0048169, GO:0048471, GO:0050729, GO:0050808, GO:0050850, GO:0051247, GO:0051425, GO:0070374, GO:0098815, GO:0098989, GO:0106003, GO:0120283, GO:0150003, GO:1900272, GO:1900273, GO:1901224, GO:1904646, GO:1905606, GO:1905908, GO:1990000, GO:1990535, GO:2000406",A
A4I8P2_LEIIN,4AGS,A4I8P2,GO:0042802,A
A4IKE6_GEOTN,2YNQ,A4IKE6,GO:0042802,A
A4_MOUSE,2ROZ,P12023,"GO:0000086, GO:0000278, GO:0000978, GO:0001967, GO:0005737, GO:0005769, GO:0005794, GO:0005798, GO:0005886, GO:0005911, GO:0006417, GO:0006878, GO:0006897, GO:0006979, GO:0007409, GO:0007613, GO:0007617, GO:0007626, GO:0008021, GO:0008088, GO:0008203, GO:0008344, GO:0008542, GO:0009986, GO:0010467, GO:0010468, GO:0010971, GO:0016020, GO:0016199, GO:0016322, GO:0016358, GO:0019901, GO:0019904, GO:0021953, GO:0030134, GO:0030182, GO:0030198, GO:0030424, GO:0030546, GO:0030900, GO:0031175, GO:0031410, GO:0031594, GO:0035235, GO:0035253, GO:0040014, GO:0043005, GO:0045177, GO:0045665, GO:0045931, GO:0045944, GO:0048471, GO:0048669, GO:0048786, GO:0050803, GO:0050885, GO:0050890, GO:0051124, GO:0051233, GO:0051402, GO:0051563, GO:0055037, GO:0060291, GO:0070050, GO:0097708, GO:0180011, GO:1905607",A
A4_RAT,1M7E,P08592,"GO:0005615, GO:0005737, GO:0006816, GO:0007611, GO:0008270, GO:0009986, GO:0010288, GO:0016504, GO:0030424, GO:0030426, GO:0036269, GO:0043523, GO:0044304, GO:0045471, GO:0051247, GO:0070555, GO:0070851, GO:0071280, GO:0071287, GO:0071320, GO:0071874, GO:0097449, GO:0098992, GO:0110088, GO:1990090, GO:1990418, GO:1990761, GO:1990812",D
A52_VACCW,2VVW,Q01220,"GO:0030430, GO:0085034, GO:0140311",A
A5A5U1_I04A1,3F5T,A5A5U1,GO:0042802,A
A5YV76_PIG,2VZ8,A5YV76,GO:0036094,A
A6N8P1_HYDVU,2OQ9,A6N8P1,GO:0042151,A
A6NNK5_HUMAN,9CKJ,A6NNK5,"GO:0005654, GO:0016604",A
A6T8V8_KLEP7,2KB2,A6T8V8,GO:0042802,A
A70A_DROME,2LAQ,P05623,"GO:0001664, GO:0005576, GO:0007186, GO:0007557, GO:0007621, GO:0008343, GO:0044703, GO:0045434, GO:0046008, GO:0046662",A
A7KHA7_MEDTR,7CKD,A7KHA7,"GO:0008289, GO:0042742",A
A7TR32_VANPO,3RV0,A7TR32,GO:0042802,A
A7U483_DANRE,4R20,A7U483,"GO:0004508, GO:0042448",A
A7YT55_DANRE,6CGP,A7YT55,"GO:0001525, GO:0002244, GO:0008270, GO:0030955, GO:0033558, GO:0036269, GO:0042903, GO:0060216",A
A85A_MYCTU,1SFR,P9WQP3,"GO:0005576, GO:0009274, GO:0016747, GO:0035375",A
A85B_MYCTU,1F0N,P9WQP1,"GO:0001968, GO:0005576, GO:0009274, GO:0010756, GO:0016747, GO:0035375, GO:0040009, GO:0046677, GO:0052572",A
A85C_MYCTU,1DQY,P9WQN9,"GO:0005576, GO:0006869, GO:0009247, GO:0009274, GO:0016747, GO:0035375, GO:0046677, GO:0071769",A
A8AZZ3_STRGC,2MXX,A8AZZ3,GO:0003676,A
A8DS70_CLODI,6O2M,A8DS70,GO:0042802,A
A8E6E2_DANRE,3PIW,A8E6E2,GO:0051607,A
A8E7C6_DANRE,7AMK,A8E7C6,"GO:0014707, GO:0031175, GO:0042803, GO:0048484, GO:0048675, GO:0065003, GO:0072114, GO:1901166",A
A8EVM5_ALIB4,3RVY,A8EVM5,GO:0042802,A
A8JBY2_CHLRE,5FMT,A8JBY2,"GO:0010608, GO:0030992, GO:0060285",A
A8NRB3_COPC7,3W9A,A8NRB3,GO:0042802,A
A8QW55_VAUFR,3UE6,A8QW55,GO:0042802,A
A8ULG6_CLOPF,4H56,A8ULG6,"GO:0044179, GO:0141026",A
A8WFV1_DANRE,4IPE,A8WFV1,"GO:0000287, GO:0005509, GO:0016887, GO:0042802",A
